id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude
16907395,109988141,Rest In Mayor,Entire home/apt,Centro,Palacio,125,155,40.41705,-3.70976
16907849,12261126,RentAmigos,Entire home/apt,Centro,Universidad,100,0,40.42898,-3.71453
16908402,12261126,RentAmigos,Entire home/apt,Centro,Universidad,100,2,40.42884,-3.71303
16909270,59187172,Sergio,Entire home/apt,Retiro,Jerónimos,110,267,40.40823,-3.68732
16910523,5144517,Fernando (Swindontravellers),Entire home/apt,Salamanca,Recoletos,130,61,40.4233,-3.68882
16911322,17320590,Fouad,Private room,Puente de Vallecas,Numancia,18,17,40.39975,-3.66653
16913205,59179613,BÃ¡rbara&David,Entire home/apt,Centro,Cortes,48,148,40.41258,-3.69774
16913574,111301181,Samuel,Private room,Centro,Embajadores,25,127,40.412,-3.70157
16914890,112943505,Albano,Entire home/apt,Chamartín,Hispanoamérica,100,70,40.45767,-3.68759
16919824,41731653,Jose Maria,Entire home/apt,Centro,Embajadores,75,276,40.41155,-3.70658
16920158,57121418,Esther,Entire home/apt,Centro,Palacio,110,47,40.41593,-3.71041
16924691,113051725,Mercedes,Entire home/apt,Villa de Vallecas,Santa Eugenia,75,116,40.38455,-3.60959
16925766,3447304,Charles,Private room,Centro,Sol,45,120,40.41932,-3.70487
16926933,113075239,Asun,Entire home/apt,Arganzuela,Palos de Moguer,80,85,40.40553,-3.69171
16928117,62638490,MoisÃ©s,Entire home/apt,Centro,Justicia,55,85,40.42372,-3.69903
16930839,35141863,Carlos,Private room,Centro,Cortes,73,3,40.41351,-3.69943
16937465,3121587,Ixchel,Entire home/apt,Centro,Palacio,160,46,40.41614,-3.70973
16940671,1408525,Mad4Rent,Entire home/apt,Centro,Palacio,110,6,40.41401,-3.71826
16940985,89814373,Alfredo,Private room,Centro,Justicia,54,95,40.42157,-3.699
16942481,112913580,Jorge Y Juanje,Entire home/apt,Centro,Embajadores,70,114,40.40963,-3.70377
16943785,112287456,Eva,Private room,Salamanca,Lista,26,22,40.4297,-3.67492
16944475,61040597,Johanna,Private room,Latina,Puerta del Angel,20,59,40.41135,-3.73553
16970352,106591951,Luxa Home,Entire home/apt,Salamanca,Recoletos,340,64,40.42588,-3.68594
16971324,18408910,Jesus,Private room,Latina,Aluche,30,16,40.39409,-3.76168
16972070,1650712,Ximena,Entire home/apt,Chamartín,Hispanoamérica,138,3,40.45797,-3.68692
16972612,1650712,Ximena,Entire home/apt,Chamartín,Hispanoamérica,138,5,40.4576,-3.68784
16974614,113421280,Teresa,Private room,Fuencarral - El Pardo,Valverde,30,54,40.50198,-3.67578
16974966,113568823,Lara,Entire home/apt,Centro,Sol,80,78,40.41646,-3.70339
16985240,113708203,Sergio,Entire home/apt,Centro,Universidad,60,87,40.42499,-3.70393
16993980,113826816,Luis & Isa,Entire home/apt,Centro,Sol,200,174,40.4197,-3.70013
17003123,40877988,Eduardo Y Raul,Entire home/apt,Arganzuela,Acacias,116,142,40.40485,-3.70713
17003185,5530351,Lilli/Emilio,Entire home/apt,Salamanca,Goya,290,5,40.42497,-3.67098
17006923,47535952,Cecilia,Entire home/apt,Ciudad Lineal,Colina,85,1,40.45835,-3.65581
17007271,42418874,Paloma Y Joaquin,Entire home/apt,Tetuán,Berruguete,80,54,40.45721,-3.70769
17011960,114045291,Coco,Private room,Latina,Puerta del Angel,32,14,40.41501,-3.72521
17012028,70198232,BelÃ©n,Entire home/apt,Centro,Universidad,80,14,40.4262,-3.70598
17019062,82444353,ConcepciÃ³n,Entire home/apt,Salamanca,Goya,90,5,40.42341,-3.67528
17019106,24109233,Natalia,Entire home/apt,Arganzuela,Acacias,85,17,40.40286,-3.70331
17019510,3048290,Antonio,Entire home/apt,Centro,Universidad,89,4,40.4229,-3.70647
